城市,冬季平均气温（℃）,冬季气温满意度,夏季平均气温（℃）,夏季气温满意度,平均住宿费用,住宿费用满意度,一天平均费用,日平均消费满意度,冬季旅游总满意度,夏季旅游总满意度
重庆,11.615551,1.9615551,34.292627,1.7707372999999995,370,3.06,588,3.412,2.108388775,2.108388775
青岛,4.075758,1.2075757999999999,28.48037,2.351963,380,3.04,1780,2.2199999999999998,1.61689395,1.61689395
拉萨,9.78355,1.778355,23.12212,2.887788,350,3.1,300,3.7,2.14458875,2.14458875
上海,9.318182,1.7318182,33.228111,1.8771889000000002,500,2.8,1272,2.7279999999999998,1.81495455,1.81495455
北京,3.660907,1.1660907,31.269585,2.0730415,500,2.8,1767,2.233,1.5497726749999998,1.5497726749999998
大理,17.201299,2.5201298999999997,24.824885,2.7175115,380,3.04,1061,2.939,2.124782475,2.124782475
厦门,17.307359,2.5307359000000003,32.548387,1.9451613,400,3.0,1430,2.57,2.025183975,2.025183975
张家界,10.515152,1.8515152,33.845622,1.8154378,350,3.1,1233,2.767,1.9296288000000001,1.9296288000000001
成都,10.971861,1.8971861,30.631336,2.1368663999999997,370,3.06,1237,2.763,1.930046525,1.930046525
西宁,3.774892,1.1774892000000001,24.711982,2.7288018000000003,350,3.1,1087,2.913,1.7976223,1.7976223
呼和浩特,-2.541126,0.5458873999999998,28.016129,2.3983871,350,3.1,888,3.112,1.6894718499999999,1.6894718499999999
武汉,9.751082,1.7751082,32.781106,1.9218893999999997,350,3.1,1071,2.929,1.95102705,1.95102705
